"ID","Matter","1) Create file","Date 1","3) New form","Date 3","2) Engagement letter","Date 2","4) Bill4time & M-Files","Date 4","5) Pre-Bill","Date 5","6) Issue invoices 1","Date 6","7) Send letter & invoice","Date 7","8) Receive letter","Date 8","9) Receive payment 1","Date 9","10) Matter end","Date 10","11) Last judgment","Date 11","12) Entering expenses","Date 12","13) Issue invoices 2","Date 13","14) Receive payment 2","Date 14"
1,"3804 / 2013 -
1744? 1851 / 22? -
20977? 21040 / 88?","Created",,"Created",4/12/2018 0:00:00,"Done",4/12/2018 0:00:00,"Done",4/12/2018 0:00:00,"Approved",5/12/2018 0:00:00,"Done",5/12/2018 0:00:00,"Sent",5/12/2018 0:00:00,,,,,"Still working",,,,,,,,,
7,"812 / 10?",,,"Created",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,"Approved",28/11/2018 0:00:00,"Done",28/11/2018 0:00:00,,,,,"Received",16/12/2018 0:00:00,"Still working",,,,,,,,,
8,"6955 / 2017 
???? ?????",,,"Not created",,"Postponed",,,,,,,,,,,,"Not required",,"Still working",,,,,,,,,
9,"4324 / 2014 -
5420 / 22?","Created",,"Created",6/11/2018 0:00:00,"Done",6/11/2018 0:00:00,"Done",6/11/2018 0:00:00,"Issued",6/11/2018 0:00:00,"Done",6/11/2018 0:00:00,"Sent",,"Not received",,"Not received",,"Still working",,,,,,,,,
10,"??? ?????? ???? ???? ??? ?????",,,"Created",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,,,,,,,,,,,"Ended",11/11/2018 0:00:00,"Not required",,"Not required",,"Not required",,"Not required",
11,"??? ?????? ???? ????? ???? ??? ??? ???? ????",,,"Created",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,"Done",27/11/2018 0:00:00,"Approved",,"Done",,"Sent",,"Received",,"Not received",,"Ended",11/11/2018 0:00:00,"Not required",,"Not required",,"Not required",,"Not required",
12,"483 / 2018","Created",5/12/2018 0:00:00,,,"Postponed",,,,,,,,,,,,,,"Still working",,,,,,,,,
13,"???? ?? ???? ????????? ????????? ???????",,,"Created",,"Not required",,"Done",,"Not required",,"Not required",,,,,,"Not required",,"Still working",,,,,,"Not required",,"Not required",
15,"???? ?? ???? ??????? ????????","Created",,"Created",30/10/2018 0:00:00,"Done",13/12/2018 0:00:00,"Done",31/10/2018 0:00:00,,,,,,,,,,,"Still working",24/10/2018 0:00:00,,,,,,,,
16,"1026 / 2010","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,,,,,"Received",,"Ended",,"Done",,"Done",,"Done",,"Not received",
17,"3659 / 2018","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,"Not received",,"Ended",28/11/2018 0:00:00,"Done",12/12/2018 0:00:00,"Done",23/12/2018 0:00:00,"Done",24/12/2018 0:00:00,"Not received",
18,"6528 / 2018","Created",5/12/2018 0:00:00,"Created",5/12/2018 0:00:00,"Not required",,"Done",5/12/2018 0:00:00,"Not required",,"Not required",,"Not Required",,"Not Required",,"Not required",,"Still working",,,,,,,,,
19,"280 / 2011",,,"Created",,"Done",,"Done",,"Approved",,"Done",2/12/2018 0:00:00,"Sent",,"Not received",,"Not received",,"Still working",,,,,,,,,
20,"140 / 2017","Created",10/12/2018 0:00:00,"Created",5/12/2018 0:00:00,"Not required",,"Done",5/12/2018 0:00:00,"Not required",,"Not required",,"Not Required",,"Not Required",,"Not required",,"Still working",,,,,,,,,
21,"302 / 2018 (??????????? ???????)","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,,,,,"Done",14/1/2019 0:00:00,"Not required",,,,,
22,"357? 358 / 2017","Created",5/12/2018 0:00:00,,,"Postponed",,,,,,,,,,,,,,,,,,,,,,,
23,"288 / 2010 -
433? 434 / 134?",,,,,,,,,,,,,,,,,,,"Ended",,"Done",,"Done",,,,,
24,"4792 / 2010 -
669 / 16? -
858 / 20?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,"Received",,"Ended",,"Done",,"Done",,"Done",15/11/2018 0:00:00,"Not received",
25,"20 / 73? -
32142 / 65?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,,,"Still working",,,,,,,,,
26,"858 / 2014 - 
3924 / 21?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,"Received",,"Ended",,"Done",,"Done",,"Done",15/7/2018 0:00:00,"Received",23/10/2018 0:00:00
27,"5074 / 2017",,,,,,,,,,,,,,,"Not received",,,,,,,,,,,,,
28,"1922 / 2017","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Not received",,"Received",,"Ended",11/12/2017 0:00:00,"Done",12/12/2018 0:00:00,"Done",,"Done",16/1/2018 0:00:00,"Received",30/8/2018 0:00:00
29,"394 / 2015 -
1676 / 21?",,,,,,,,,,,,,,,,,"Received",,"Ended",,"Done",,"Done",,"Done",25/7/2018 0:00:00,"Received",12/11/2018 0:00:00
30,"??? ??????? ??? ???????? ?????? ????? ???? ???","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Still working",,,,,,,,,
31,"8698 / 88?","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
32,"595 / 2016 -6414 / 22?? 327 / 23?","Created",25/12/2018 0:00:00,"Created",26/12/2018 0:00:00,"Done",24/12/2018 0:00:00,"Done",27/12/2018 0:00:00,"Approved",27/12/2018 0:00:00,"Done",27/12/2018 0:00:00,,,,,,,"Still working",,,,,,,,,
33,"878 / 10? -
34 / 2019","Created",17/12/2018 0:00:00,"Created",16/12/2018 0:00:00,"Done",16/12/2018 0:00:00,"Done",,"Approved",,"Done",30/1/2019 0:00:00,"Sent",,,,,,"Still working",,,,,,,,,
34,"139 / 2016","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
35,"139 / 2016","Created",17/12/2018 0:00:00,"Not created",,,,,,,,,,,,,,,,,,,,,,,,,
36,"151 / 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"415 / 88?","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
38,"54 / 9?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"64 / 2017","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
