"matterID","FirstHearingDate"
3,30/6/2018 0:00:00
4,31/1/2010 0:00:00
5,4/2/2018 0:00:00
6,14/3/2015 0:00:00
7,23/3/2014 0:00:00
8,5/3/2018 0:00:00
9,15/1/2012 0:00:00
10,13/4/2016 0:00:00
11,7/8/2017 0:00:00
12,29/6/2014 0:00:00
14,27/6/2015 0:00:00
15,20/1/2013 0:00:00
16,7/9/2013 0:00:00
19,8/4/2010 0:00:00
20,21/1/2016 0:00:00
21,2/10/2014 0:00:00
22,5/3/2016 0:00:00
24,8/9/2012 0:00:00
25,1/7/2015 0:00:00
26,8/5/2016 0:00:00
27,24/6/2019 0:00:00
28,25/2/2019 0:00:00
29,7/4/2018 0:00:00
30,21/4/2010 0:00:00
31,24/2/2018 0:00:00
32,6/3/2019 0:00:00
33,22/10/2016 0:00:00
34,23/10/2016 0:00:00
35,10/2/2016 0:00:00
36,5/11/2015 0:00:00
37,17/1/2017 0:00:00
38,24/12/2018 0:00:00
39,8/4/2018 0:00:00
40,23/2/2019 0:00:00
41,21/12/2009 0:00:00
42,10/5/2016 0:00:00
43,12/12/2015 0:00:00
44,8/11/2015 0:00:00
45,30/4/2015 0:00:00
46,3/10/2017 0:00:00
47,7/11/2010 0:00:00
48,5/10/2010 0:00:00
49,13/11/2011 0:00:00
50,
51,16/11/2015 0:00:00
52,30/1/2019 0:00:00
53,20/4/2016 0:00:00
54,10/12/2019 0:00:00
55,3/3/2016 0:00:00
56,13/4/2017 0:00:00
57,31/10/2020 0:00:00
58,8/11/2015 0:00:00
59,30/6/2014 0:00:00
60,31/12/2013 0:00:00
61,2/3/2010 0:00:00
62,22/2/2020 0:00:00
63,14/9/2019 0:00:00
64,7/4/2010 0:00:00
65,27/6/2012 0:00:00
66,24/1/2011 0:00:00
67,1/1/2012 0:00:00
68,18/1/2012 0:00:00
69,16/1/2012 0:00:00
70,8/4/2010 0:00:00
71,22/1/2020 0:00:00
72,12/9/2019 0:00:00
73,21/8/2014 0:00:00
74,16/9/2018 0:00:00
75,21/3/2011 0:00:00
76,25/2/2013 0:00:00
77,17/3/2014 0:00:00
78,27/4/2017 0:00:00
79,29/10/2014 0:00:00
80,5/4/2016 0:00:00
81,13/2/2010 0:00:00
82,5/7/2011 0:00:00
83,14/1/2017 0:00:00
84,17/7/2017 0:00:00
86,7/9/2020 0:00:00
87,4/3/2019 0:00:00
88,22/1/2011 0:00:00
89,18/6/2019 0:00:00
90,25/2/2019 0:00:00
91,5/3/2019 0:00:00
92,26/6/2013 0:00:00
93,3/3/2015 0:00:00
94,16/8/2015 0:00:00
95,30/1/2019 0:00:00
96,20/9/2017 0:00:00
98,25/10/2020 0:00:00
99,1/12/2012 0:00:00
100,26/2/2017 0:00:00
101,
102,20/10/2020 0:00:00
103,5/2/2011 0:00:00
104,31/7/2014 0:00:00
105,25/2/2018 0:00:00
106,20/10/2020 0:00:00
107,16/4/2013 0:00:00
108,22/3/2017 0:00:00
109,27/9/2017 0:00:00
110,30/5/2020 0:00:00
111,23/9/2017 0:00:00
112,25/8/2012 0:00:00
113,22/3/2017 0:00:00
114,20/6/2017 0:00:00
115,5/8/2017 0:00:00
116,21/5/2011 0:00:00
117,12/6/2019 0:00:00
118,8/2/2020 0:00:00
119,19/10/2013 0:00:00
120,14/4/2014 0:00:00
122,19/10/2020 0:00:00
123,20/10/2018 0:00:00
124,23/10/2011 0:00:00
126,9/4/2012 0:00:00
127,18/6/2019 0:00:00
128,5/6/2016 0:00:00
129,28/2/2019 0:00:00
130,11/10/2018 0:00:00
131,7/2/2019 0:00:00
132,1/11/2017 0:00:00
133,13/9/2014 0:00:00
134,1/9/2015 0:00:00
135,17/12/2017 0:00:00
136,26/7/2020 0:00:00
137,16/4/2016 0:00:00
139,4/8/2019 0:00:00
140,29/12/2016 0:00:00
141,2/7/2017 0:00:00
142,7/4/2010 0:00:00
143,19/12/2013 0:00:00
144,5/11/2020 0:00:00
145,30/1/2012 0:00:00
146,22/12/2015 0:00:00
147,30/12/2015 0:00:00
148,25/3/2019 0:00:00
149,12/4/2011 0:00:00
150,1/7/2010 0:00:00
151,1/7/2010 0:00:00
152,21/1/2016 0:00:00
153,9/12/2018 0:00:00
154,22/5/2011 0:00:00
155,5/8/2014 0:00:00
157,3/3/2018 0:00:00
158,16/5/2012 0:00:00
159,7/3/2015 0:00:00
160,27/11/2014 0:00:00
161,24/11/2018 0:00:00
162,5/11/2020 0:00:00
163,26/10/2020 0:00:00
164,5/11/2020 0:00:00
165,26/10/2020 0:00:00
166,22/10/2016 0:00:00
167,5/11/2020 0:00:00
168,26/10/2020 0:00:00
169,18/11/2018 0:00:00
170,21/10/2013 0:00:00
171,20/11/2013 0:00:00
172,4/12/2014 0:00:00
173,17/11/2013 0:00:00
174,28/10/2019 0:00:00
175,15/10/2014 0:00:00
176,20/11/2013 0:00:00
177,4/12/2014 0:00:00
178,19/11/2013 0:00:00
179,20/12/2014 0:00:00
180,22/10/2014 0:00:00
181,23/2/2019 0:00:00
182,24/11/2018 0:00:00
183,23/2/2019 0:00:00
184,24/11/2018 0:00:00
185,20/11/2010 0:00:00
186,19/9/2019 0:00:00
187,5/11/2020 0:00:00
188,3/11/2013 0:00:00
189,26/11/2020 0:00:00
190,23/11/2020 0:00:00
191,23/11/2020 0:00:00
192,26/11/2020 0:00:00
193,30/4/2020 0:00:00
194,17/4/2011 0:00:00
195,26/10/2020 0:00:00
196,3/7/2010 0:00:00
197,17/1/2011 0:00:00
198,17/2/2014 0:00:00
199,10/12/2014 0:00:00
200,27/12/2014 0:00:00
201,8/8/2017 0:00:00
